time,event_name
2020-08-05,SPY Component Report CDW
2020-08-05,SPY Component Report CF
2020-08-05,SPY Component Report COR
2020-08-05,SPY Component Report CRL
2020-08-05,SPY Component Report CTVA
2020-08-05,SPY Component Report CVS
2020-08-05,SPY Component Report DAY
2020-08-05,SPY Component Report EG
2020-08-05,SPY Component Report EVRG
2020-08-05,SPY Component Report FI
2020-08-05,SPY Component Report FRT
2020-08-05,SPY Component Report GDDY
2020-08-05,SPY Component Report HUM
2020-08-05,SPY Component Report LYV
2020-08-05,SPY Component Report MET
2020-08-05,SPY Component Report MRNA
2020-08-05,SPY Component Report NI
2020-08-05,SPY Component Report PSA
2020-08-05,SPY Component Report REGN
2020-08-05,SPY Component Report RMD
2020-08-05,SPY Component Report SRE
2020-08-05,SPY Component Report TRMB
2020-08-05,SPY Component Report VST
2020-08-05,SPY Component Report WBD
2020-08-05,SPY Component Report WDC
2020-08-05,SPY Component Report WELL
2020-08-06,SPY Component Report AEE
2020-08-06,SPY Component Report AEP
2020-08-06,SPY Component Report AES
2020-08-06,SPY Component Report AXON
2020-08-06,SPY Component Report BALL
2020-08-06,SPY Component Report BDX
2020-08-06,SPY Component Report BKNG
2020-08-06,SPY Component Report BMY
2020-08-06,SPY Component Report CAH
2020-08-06,SPY Component Report CNP
2020-08-06,SPY Component Report CPAY
2020-08-06,SPY Component Report CZR
2020-08-06,SPY Component Report ED
2020-08-06,SPY Component Report EOG
2020-08-06,SPY Component Report EPAM
2020-08-06,SPY Component Report FSLR
2020-08-06,SPY Component Report FTNT
2020-08-06,SPY Component Report GEN
2020-08-06,SPY Component Report HII
2020-08-06,SPY Component Report HLT
2020-08-06,SPY Component Report HWM
2020-08-06,SPY Component Report IRM
2020-08-06,SPY Component Report LNT
2020-08-06,SPY Component Report MHK
2020-08-06,SPY Component Report MSI
2020-08-06,SPY Component Report NCLH
2020-08-06,SPY Component Report NRG
2020-08-06,SPY Component Report NWS
2020-08-06,SPY Component Report NWSA
2020-08-06,SPY Component Report PARA
2020-08-06,SPY Component Report PH
2020-08-06,SPY Component Report PNW
2020-08-06,SPY Component Report PODD
2020-08-06,SPY Component Report PWR
2020-08-06,SPY Component Report RSG
2020-08-06,SPY Component Report TMUS
2020-08-06,SPY Component Report TRGP
2020-08-06,SPY Component Report UBER
2020-08-06,SPY Component Report VTRS
2020-08-06,SPY Component Report ZTS
2020-08-07,SPY Component Report KIM
2020-08-07,SPY Component Report VTR
2020-08-08,SPY Component Report BRK-B
2020-08-08,SPY Component Report ON
2020-08-10,SPY Component Report DUK
2020-08-10,SPY Component Report IFF
2020-08-10,SPY Component Report MAR
2020-08-10,SPY Component Report OXY
2020-08-10,SPY Component Report PPL
2020-08-10,SPY Component Report RCL
2020-08-10,SPY Component Report SPG
2020-08-11,SPY Component Report BR
2020-08-11,SPY Component Report SMCI
2020-08-11,SPY Component Report SYY
2020-08-12,SPY Component Report CSCO
2020-08-13,SPY Component Report AMAT
2020-08-13,SPY Component Report TPR
2020-08-18,SPY Component Report A
2020-08-18,SPY Component Report AMCR
2020-08-18,SPY Component Report HD
2020-08-18,SPY Component Report JKHY
2020-08-18,SPY Component Report WMT
2020-08-19,SPY Component Report ADI
2020-08-19,SPY Component Report LOW
2020-08-19,SPY Component Report NDSN
2020-08-19,SPY Component Report NVDA
2020-08-19,SPY Component Report SNPS
2020-08-19,SPY Component Report TGT
2020-08-19,SPY Component Report TJX
2020-08-20,SPY Component Report EL
2020-08-20,SPY Component Report KEYS
2020-08-20,SPY Component Report ROST
2020-08-21,SPY Component Report DE
2020-08-24,SPY Component Report PANW
2020-08-25,SPY Component Report ADSK
2020-08-25,SPY Component Report BBY
2020-08-25,SPY Component Report CRM
2020-08-25,SPY Component Report HPE
2020-08-25,SPY Component Report HRL
2020-08-25,SPY Component Report INTU
2020-08-25,SPY Component Report MDT
2020-08-25,SPY Component Report SJM
2020-08-26,SPY Component Report NTAP
2020-08-26,SPY Component Report WSM
2020-08-27,SPY Component Report DELL
2020-08-27,SPY Component Report DG
2020-08-27,SPY Component Report DLTR
2020-08-27,SPY Component Report HPQ
2020-08-27,SPY Component Report ULTA
2020-08-27,SPY Component Report WDAY
2020-09-01,SPY Component Report CPRT
2020-09-01,SPY Component Report CRWD
2020-09-02,SPY Component Report BF-B
2020-09-02,SPY Component Report CPB
2020-09-03,SPY Component Report AVGO
2020-09-03,SPY Component Report COO
2020-09-08,SPY Component Report LULU
2020-09-10,SPY Component Report ORCL
2020-09-11,SPY Component Report KR
2020-09-14,SPY Component Report LEN
2020-09-15,SPY Component Report ADBE
2020-09-15,SPY Component Report FDX
2020-09-22,SPY Component Report AZO
2020-09-22,SPY Component Report NKE
2020-09-23,SPY Component Report CTAS
2020-09-23,SPY Component Report GIS
2020-09-24,SPY Component Report ACN
2020-09-24,SPY Component Report COST
2020-09-24,SPY Component Report DRI
2020-09-24,SPY Component Report FDS
2020-09-24,SPY Component Report JBL
2020-09-24,SPY Component Report KMX
2020-09-29,SPY Component Report MKC
2020-09-29,SPY Component Report MU
2020-10-01,SPY Component Report CAG
2020-10-01,SPY Component Report PEP
2020-10-01,SPY Component Report STZ
2020-10-06,SPY Component Report PAYX
2020-10-07,SPY Component Report LW
2020-10-08,SPY Component Report CCL
2020-10-08,SPY Component Report DPZ
2020-10-13,SPY Component Report C
2020-10-13,SPY Component Report DAL
2020-10-13,SPY Component Report FAST
2020-10-13,SPY Component Report JNJ
2020-10-13,SPY Component Report JPM
2020-10-14,SPY Component Report BAC
2020-10-14,SPY Component Report GS
2020-10-14,SPY Component Report PGR
2020-10-14,SPY Component Report PNC
2020-10-14,SPY Component Report UAL
2020-10-14,SPY Component Report UNH
2020-10-14,SPY Component Report USB
2020-10-14,SPY Component Report WFC
2020-10-15,SPY Component Report ISRG
2020-10-15,SPY Component Report MS
2020-10-15,SPY Component Report SCHW
2020-10-15,SPY Component Report TFC
2020-10-15,SPY Component Report WBA
2020-10-16,SPY Component Report BK
2020-10-16,SPY Component Report CFG
2020-10-16,SPY Component Report JBHT
2020-10-16,SPY Component Report SLB
2020-10-16,SPY Component Report STT
2020-10-19,SPY Component Report CDNS
2020-10-19,SPY Component Report HAL
2020-10-19,SPY Component Report IBM
2020-10-19,SPY Component Report LII
2020-10-19,SPY Component Report PPG
2020-10-19,SPY Component Report STLD
2020-10-20,SPY Component Report DOV
2020-10-20,SPY Component Report IQV
2020-10-20,SPY Component Report LMT
2020-10-20,SPY Component Report NFLX
2020-10-20,SPY Component Report NVR
2020-10-20,SPY Component Report PCAR
2020-10-20,SPY Component Report PG
2020-10-20,SPY Component Report PLD
2020-10-20,SPY Component Report PM
2020-10-20,SPY Component Report PNR
2020-10-20,SPY Component Report RF
2020-10-20,SPY Component Report SYF
2020-10-20,SPY Component Report TER
2020-10-20,SPY Component Report TRV
2020-10-20,SPY Component Report TXN
2020-10-20,SPY Component Report WRB
2020-10-21,SPY Component Report ABT
2020-10-21,SPY Component Report ALGN
2020-10-21,SPY Component Report APH
2020-10-21,SPY Component Report AVY
2020-10-21,SPY Component Report BIIB
2020-10-21,SPY Component Report BKR
2020-10-21,SPY Component Report CCI
2020-10-21,SPY Component Report CMG
2020-10-21,SPY Component Report CSX
2020-10-21,SPY Component Report EFX
2020-10-21,SPY Component Report EW
2020-10-21,SPY Component Report GL
2020-10-21,SPY Component Report IPG
2020-10-21,SPY Component Report KEY
2020-10-21,SPY Component Report KMI
2020-10-21,SPY Component Report LRCX
2020-10-21,SPY Component Report LVS
2020-10-21,SPY Component Report NDAQ
2020-10-21,SPY Component Report NEE
2020-10-21,SPY Component Report NTRS
2020-10-21,SPY Component Report TDY
2020-10-21,SPY Component Report TMO
2020-10-21,SPY Component Report TSLA
2020-10-21,SPY Component Report VZ
2020-10-22,SPY Component Report AEP
2020-10-22,SPY Component Report ALLE
2020-10-22,SPY Component Report COF
2020-10-22,SPY Component Report DGX
2020-10-22,SPY Component Report DHR
2020-10-22,SPY Component Report DOW
2020-10-22,SPY Component Report EQT
2020-10-22,SPY Component Report FCX
2020-10-22,SPY Component Report FITB
2020-10-22,SPY Component Report GPC
2020-10-22,SPY Component Report GWW
2020-10-22,SPY Component Report HBAN
2020-10-22,SPY Component Report INTC
2020-10-22,SPY Component Report KMB
2020-10-22,SPY Component Report KO
2020-10-22,SPY Component Report LUV
2020-10-22,SPY Component Report MTB
2020-10-22,SPY Component Report NOC
2020-10-22,SPY Component Report NUE
2020-10-22,SPY Component Report PHM
2020-10-22,SPY Component Report POOL
2020-10-22,SPY Component Report SNA
2020-10-22,SPY Component Report STX
2020-10-22,SPY Component Report T
2020-10-22,SPY Component Report TSCO
2020-10-22,SPY Component Report UNP
2020-10-22,SPY Component Report VLO
2020-10-22,SPY Component Report VRSN
2020-10-22,SPY Component Report WST
2020-10-23,SPY Component Report AXP
2020-10-23,SPY Component Report ITW
2020-10-26,SPY Component Report ARE
2020-10-26,SPY Component Report BRO
2020-10-26,SPY Component Report CINF
2020-10-26,SPY Component Report FFIV
2020-10-26,SPY Component Report HAS
2020-10-26,SPY Component Report HCA
2020-10-26,SPY Component Report NXPI
2020-10-26,SPY Component Report OTIS
2020-10-26,SPY Component Report PFG
2020-10-26,SPY Component Report PKG
2020-10-27,SPY Component Report AFL
2020-10-27,SPY Component Report AKAM
2020-10-27,SPY Component Report AMD
2020-10-27,SPY Component Report BEN
2020-10-27,SPY Component Report BXP
2020-10-27,SPY Component Report CAT
2020-10-27,SPY Component Report CB
2020-10-27,SPY Component Report CHRW
2020-10-27,SPY Component Report CMI
2020-10-27,SPY Component Report CNC
2020-10-27,SPY Component Report CSGP
2020-10-27,SPY Component Report DTE
2020-10-27,SPY Component Report DXCM
2020-10-27,SPY Component Report ECL
2020-10-27,SPY Component Report EIX
2020-10-27,SPY Component Report ENPH
2020-10-27,SPY Component Report EQR
2020-10-27,SPY Component Report FI
2020-10-27,SPY Component Report FSLR
2020-10-27,SPY Component Report FTV
2020-10-27,SPY Component Report GLW
2020-10-27,SPY Component Report HUBB
2020-10-27,SPY Component Report IEX
2020-10-27,SPY Component Report IVZ
2020-10-27,SPY Component Report JNPR
2020-10-27,SPY Component Report LH
2020-10-27,SPY Component Report LLY
2020-10-27,SPY Component Report MKTX
2020-10-27,SPY Component Report MMM
2020-10-27,SPY Component Report MRK
2020-10-27,SPY Component Report MSCI
2020-10-27,SPY Component Report MSFT
2020-10-27,SPY Component Report ODFL
2020-10-27,SPY Component Report OKE
2020-10-27,SPY Component Report OMC
2020-10-27,SPY Component Report PFE
2020-10-27,SPY Component Report ROP
2020-10-27,SPY Component Report RTX
2020-10-27,SPY Component Report SHW
2020-10-27,SPY Component Report SPGI
2020-10-27,SPY Component Report SWK
2020-10-27,SPY Component Report WAT
2020-10-28,SPY Component Report ADP
2020-10-28,SPY Component Report AMGN
2020-10-28,SPY Component Report AMP
2020-10-28,SPY Component Report AVB
2020-10-28,SPY Component Report BA
2020-10-28,SPY Component Report BG
2020-10-28,SPY Component Report BSX
2020-10-28,SPY Component Report BX
2020-10-28,SPY Component Report CME
2020-10-28,SPY Component Report CTSH
2020-10-28,SPY Component Report EBAY
2020-10-28,SPY Component Report ELV
2020-10-28,SPY Component Report EQIX
2020-10-28,SPY Component Report ESS
2020-10-28,SPY Component Report ETR
2020-10-28,SPY Component Report F
2020-10-28,SPY Component Report GD
2020-10-28,SPY Component Report GE
2020-10-28,SPY Component Report GILD
2020-10-28,SPY Component Report GNRC
2020-10-28,SPY Component Report GRMN
2020-10-28,SPY Component Report HES
2020-10-28,SPY Component Report INVH
2020-10-28,SPY Component Report KLAC
2020-10-28,SPY Component Report MA
2020-10-28,SPY Component Report MAA
2020-10-28,SPY Component Report MAS
2020-10-28,SPY Component Report MOH
2020-10-28,SPY Component Report NOW
2020-10-28,SPY Component Report NSC
2020-10-28,SPY Component Report ORLY
2020-10-28,SPY Component Report PTC
2020-10-28,SPY Component Report RJF
2020-10-28,SPY Component Report ROL
2020-10-28,SPY Component Report RVTY
2020-10-28,SPY Component Report TEL
2020-10-28,SPY Component Report TT
2020-10-28,SPY Component Report UPS
2020-10-28,SPY Component Report URI
2020-10-28,SPY Component Report V
2020-10-28,SPY Component Report VICI
2020-10-28,SPY Component Report WDC
2020-10-28,SPY Component Report WELL
2020-10-29,SPY Component Report AAPL
2020-10-29,SPY Component Report ACGL
2020-10-29,SPY Component Report ADM
2020-10-29,SPY Component Report AJG
2020-10-29,SPY Component Report AME
2020-10-29,SPY Component Report AMT
2020-10-29,SPY Component Report AMZN
2020-10-29,SPY Component Report AOS
2020-10-29,SPY Component Report APO
2020-10-29,SPY Component Report APTV
2020-10-29,SPY Component Report BAX
2020-10-29,SPY Component Report BLDR
2020-10-29,SPY Component Report CARR
2020-10-29,SPY Component Report CBRE
2020-10-29,SPY Component Report CHD
2020-10-29,SPY Component Report CMCSA
2020-10-29,SPY Component Report CMS
2020-10-29,SPY Component Report COP
2020-10-29,SPY Component Report CPT
2020-10-29,SPY Component Report CRL
2020-10-29,SPY Component Report CTRA
2020-10-29,SPY Component Report DD
2020-10-29,SPY Component Report DECK
2020-10-29,SPY Component Report DLR
2020-10-29,SPY Component Report DVA
2020-10-29,SPY Component Report DVN
2020-10-29,SPY Component Report EG
2020-10-29,SPY Component Report EMN
2020-10-29,SPY Component Report ERIE
2020-10-29,SPY Component Report FIS
2020-10-29,SPY Component Report FTNT
2020-10-29,SPY Component Report GOOG
2020-10-29,SPY Component Report GOOGL
2020-10-29,SPY Component Report GPN
2020-10-29,SPY Component Report HIG
2020-10-29,SPY Component Report ICE
2020-10-29,SPY Component Report IDXX
2020-10-29,SPY Component Report IP
2020-10-29,SPY Component Report KDP
2020-10-29,SPY Component Report KHC
2020-10-29,SPY Component Report LKQ
2020-10-29,SPY Component Report MCO
2020-10-29,SPY Component Report META
2020-10-29,SPY Component Report MGM
2020-10-29,SPY Component Report MHK
2020-10-29,SPY Component Report MLM
2020-10-29,SPY Component Report MMC
2020-10-29,SPY Component Report MPWR
2020-10-29,SPY Component Report MRNA
2020-10-29,SPY Component Report MSI
2020-10-29,SPY Component Report NEM
2020-10-29,SPY Component Report PCG
2020-10-29,SPY Component Report PWR
2020-10-29,SPY Component Report RCL
2020-10-29,SPY Component Report RL
2020-10-29,SPY Component Report RMD
2020-10-29,SPY Component Report SBUX
2020-10-29,SPY Component Report SO
2020-10-29,SPY Component Report SYK
2020-10-29,SPY Component Report TAP
2020-10-29,SPY Component Report TPR
2020-10-29,SPY Component Report TROW
2020-10-29,SPY Component Report TXT
2020-10-29,SPY Component Report UDR
2020-10-29,SPY Component Report UHS
2020-10-29,SPY Component Report VRTX
2020-10-29,SPY Component Report WAB
2020-10-29,SPY Component Report WTW
2020-10-29,SPY Component Report XEL
2020-10-29,SPY Component Report XYL
2020-10-29,SPY Component Report YUM
2020-10-30,SPY Component Report ABBV
2020-10-30,SPY Component Report AON
2020-10-30,SPY Component Report BR
2020-10-30,SPY Component Report CBOE
2020-10-30,SPY Component Report CHTR
2020-10-30,SPY Component Report CL
2020-10-30,SPY Component Report CVX
2020-10-30,SPY Component Report HON
2020-10-30,SPY Component Report K
2020-10-30,SPY Component Report KKR
2020-10-30,SPY Component Report LHX
2020-10-30,SPY Component Report LYB
2020-10-30,SPY Component Report MO
2020-10-30,SPY Component Report PEG
2020-10-30,SPY Component Report PNW
2020-10-30,SPY Component Report PSX
2020-10-30,SPY Component Report WY
2020-10-30,SPY Component Report XOM
2020-10-31,SPY Component Report ON
2020-11-02,SPY Component Report AIZ
2020-11-02,SPY Component Report ANET
2020-11-02,SPY Component Report CDW
2020-11-02,SPY Component Report CLX
2020-11-02,SPY Component Report DOC
2020-11-02,SPY Component Report EL
2020-11-02,SPY Component Report FANG
2020-11-02,SPY Component Report FE
2020-11-02,SPY Component Report HSIC
2020-11-02,SPY Component Report IR
2020-11-02,SPY Component Report LDOS
2020-11-02,SPY Component Report LNT
2020-11-02,SPY Component Report MDLZ
2020-11-02,SPY Component Report MPC
2020-11-02,SPY Component Report NI
2020-11-02,SPY Component Report O
2020-11-02,SPY Component Report PYPL
2020-11-02,SPY Component Report SBAC
2020-11-02,SPY Component Report STE
2020-11-02,SPY Component Report SWKS
2020-11-02,SPY Component Report TPL
2020-11-02,SPY Component Report WM
2020-11-02,SPY Component Report WMB
2020-11-03,SPY Component Report EMR
2020-11-03,SPY Component Report ES
2020-11-03,SPY Component Report ETN
2020-11-03,SPY Component Report EXC
2020-11-03,SPY Component Report EXPD
2020-11-03,SPY Component Report FOXA
2020-11-03,SPY Component Report HUM
2020-11-03,SPY Component Report IT
2020-11-03,SPY Component Report JCI
2020-11-03,SPY Component Report MCK
2020-11-03,SPY Component Report MOS
2020-11-03,SPY Component Report PRU
2020-11-03,SPY Component Report SMCI
2020-11-03,SPY Component Report SYY
2020-11-03,SPY Component Report WEC
2020-11-03,SPY Component Report ZBRA
2020-11-04,SPY Component Report AEE
2020-11-04,SPY Component Report ALB
2020-11-04,SPY Component Report ALL
2020-11-04,SPY Component Report ANSS
2020-11-04,SPY Component Report AWK
2020-11-04,SPY Component Report CF
2020-11-04,SPY Component Report CTVA
2020-11-04,SPY Component Report EXPE
2020-11-04,SPY Component Report EXR
2020-11-04,SPY Component Report GDDY
2020-11-04,SPY Component Report HLT
2020-11-04,SPY Component Report HOLX
2020-11-04,SPY Component Report HST
2020-11-04,SPY Component Report JKHY
2020-11-04,SPY Component Report MET
2020-11-04,SPY Component Report MTCH
2020-11-04,SPY Component Report PAYC
2020-11-04,SPY Component Report PODD
2020-11-04,SPY Component Report PSA
2020-11-04,SPY Component Report QCOM
2020-11-04,SPY Component Report TRMB
2020-11-04,SPY Component Report TYL
2020-11-04,SPY Component Report VRSK
2020-11-04,SPY Component Report VST
2020-11-05,SPY Component Report AIG
2020-11-05,SPY Component Report AMCR
2020-11-05,SPY Component Report APA
2020-11-05,SPY Component Report AXON
2020-11-05,SPY Component Report BALL
2020-11-05,SPY Component Report BDX
2020-11-05,SPY Component Report BKNG
2020-11-05,SPY Component Report BMY
2020-11-05,SPY Component Report CAH
2020-11-05,SPY Component Report CI
2020-11-05,SPY Component Report CNP
2020-11-05,SPY Component Report COR
2020-11-05,SPY Component Report CPAY
2020-11-05,SPY Component Report CZR
2020-11-05,SPY Component Report D
2020-11-05,SPY Component Report DAY
2020-11-05,SPY Component Report DUK
2020-11-05,SPY Component Report EA
2020-11-05,SPY Component Report ED
2020-11-05,SPY Component Report EOG
2020-11-05,SPY Component Report EPAM
2020-11-05,SPY Component Report EVRG
2020-11-05,SPY Component Report FRT
2020-11-05,SPY Component Report GEN
2020-11-05,SPY Component Report GM
2020-11-05,SPY Component Report HII
2020-11-05,SPY Component Report INCY
2020-11-05,SPY Component Report IRM
2020-11-05,SPY Component Report KIM
2020-11-05,SPY Component Report LIN
2020-11-05,SPY Component Report LYV
2020-11-05,SPY Component Report MCHP
2020-11-05,SPY Component Report MNST
2020-11-05,SPY Component Report MTD
2020-11-05,SPY Component Report NRG
2020-11-05,SPY Component Report NWS
2020-11-05,SPY Component Report NWSA
2020-11-05,SPY Component Report PH
2020-11-05,SPY Component Report PPL
2020-11-05,SPY Component Report REG
2020-11-05,SPY Component Report REGN
2020-11-05,SPY Component Report RSG
2020-11-05,SPY Component Report SRE
2020-11-05,SPY Component Report TECH
2020-11-05,SPY Component Report TMUS
2020-11-05,SPY Component Report TRGP
2020-11-05,SPY Component Report TTWO
2020-11-05,SPY Component Report UBER
2020-11-05,SPY Component Report VMC
2020-11-05,SPY Component Report WBD
2020-11-05,SPY Component Report WYNN
2020-11-05,SPY Component Report ZTS
2020-11-06,SPY Component Report AES
2020-11-06,SPY Component Report CVS
2020-11-06,SPY Component Report HSY
2020-11-06,SPY Component Report MAR
2020-11-06,SPY Component Report PARA
2020-11-06,SPY Component Report VTR
2020-11-06,SPY Component Report VTRS
2020-11-06,SPY Component Report ZBH
2020-11-07,SPY Component Report BRK-B
2020-11-09,SPY Component Report HWM
2020-11-09,SPY Component Report IFF
2020-11-09,SPY Component Report MCD
2020-11-09,SPY Component Report NCLH
2020-11-09,SPY Component Report OXY
2020-11-09,SPY Component Report SPG
2020-11-10,SPY Component Report DHI
2020-11-10,SPY Component Report FICO
2020-11-10,SPY Component Report ROK
2020-11-11,SPY Component Report APD
2020-11-11,SPY Component Report ATO
2020-11-12,SPY Component Report AMAT
2020-11-12,SPY Component Report CSCO
2020-11-12,SPY Component Report DIS
2020-11-12,SPY Component Report PLTR
2020-11-12,SPY Component Report TDG
2020-11-16,SPY Component Report PANW
2020-11-16,SPY Component Report TSN
2020-11-17,SPY Component Report HD
2020-11-17,SPY Component Report WMT
2020-11-18,SPY Component Report CPRT
2020-11-18,SPY Component Report KEYS
2020-11-18,SPY Component Report LOW
2020-11-18,SPY Component Report NVDA
2020-11-18,SPY Component Report TGT
2020-11-18,SPY Component Report TJX
2020-11-19,SPY Component Report INTU
2020-11-19,SPY Component Report ROST
2020-11-19,SPY Component Report WDAY
2020-11-19,SPY Component Report WSM
2020-11-23,SPY Component Report A
2020-11-24,SPY Component Report ADI
2020-11-24,SPY Component Report ADSK
2020-11-24,SPY Component Report BBY
2020-11-24,SPY Component Report DELL
2020-11-24,SPY Component Report DLTR
2020-11-24,SPY Component Report HPQ
2020-11-24,SPY Component Report HRL
2020-11-24,SPY Component Report J
2020-11-24,SPY Component Report MDT
2020-11-24,SPY Component Report SJM
2020-11-25,SPY Component Report DE
2020-12-01,SPY Component Report CRM
2020-12-01,SPY Component Report HPE
2020-12-01,SPY Component Report NTAP
2020-12-02,SPY Component Report CRWD
2020-12-02,SPY Component Report SNPS
2020-12-03,SPY Component Report COO
2020-12-03,SPY Component Report DG
2020-12-03,SPY Component Report KR
2020-12-03,SPY Component Report ULTA
2020-12-08,SPY Component Report AZO
2020-12-08,SPY Component Report BF-B
2020-12-09,SPY Component Report CPB
2020-12-10,SPY Component Report ADBE
2020-12-10,SPY Component Report AVGO
2020-12-10,SPY Component Report COST
2020-12-10,SPY Component Report LULU
2020-12-10,SPY Component Report ORCL
2020-12-15,SPY Component Report NDSN
2020-12-16,SPY Component Report LEN
2020-12-17,SPY Component Report ACN
2020-12-17,SPY Component Report FDX
2020-12-17,SPY Component Report GIS
2020-12-17,SPY Component Report JBL
2020-12-18,SPY Component Report DRI
2020-12-18,SPY Component Report NKE
2020-12-21,SPY Component Report FDS
2020-12-22,SPY Component Report CTAS
2020-12-22,SPY Component Report KMX
2020-12-23,SPY Component Report PAYX
2021-01-07,SPY Component Report CAG
2021-01-07,SPY Component Report LW
2021-01-07,SPY Component Report MU
2021-01-07,SPY Component Report STZ
2021-01-07,SPY Component Report WBA
2021-01-14,SPY Component Report DAL
2021-01-15,SPY Component Report C
2021-01-15,SPY Component Report JPM
2021-01-15,SPY Component Report PNC
2021-01-15,SPY Component Report WFC
2021-01-19,SPY Component Report BAC
2021-01-19,SPY Component Report GS
2021-01-19,SPY Component Report HAL
2021-01-19,SPY Component Report JBHT
2021-01-19,SPY Component Report NFLX
2021-01-19,SPY Component Report SCHW
2021-01-19,SPY Component Report STT
2021-01-20,SPY Component Report BK
2021-01-20,SPY Component Report CFG
2021-01-20,SPY Component Report FAST
2021-01-20,SPY Component Report KMI
2021-01-20,SPY Component Report MS
2021-01-20,SPY Component Report PG
2021-01-20,SPY Component Report UAL
2021-01-20,SPY Component Report UNH
2021-01-20,SPY Component Report USB
2021-01-21,SPY Component Report BKR
2021-01-21,SPY Component Report CSX
2021-01-21,SPY Component Report FITB
2021-01-21,SPY Component Report IBM
2021-01-21,SPY Component Report INTC
2021-01-21,SPY Component Report ISRG
2021-01-21,SPY Component Report KEY
2021-01-21,SPY Component Report MTB
2021-01-21,SPY Component Report NTRS
2021-01-21,SPY Component Report PPG
2021-01-21,SPY Component Report STX
2021-01-21,SPY Component Report TFC
2021-01-21,SPY Component Report TRV
2021-01-21,SPY Component Report UNP
2021-01-22,SPY Component Report HBAN
2021-01-22,SPY Component Report RF
2021-01-22,SPY Component Report SLB
2021-01-25,SPY Component Report BRO
2021-01-25,SPY Component Report KMB
2021-01-25,SPY Component Report STLD
2021-01-26,SPY Component Report ADM
2021-01-26,SPY Component Report AMD
2021-01-26,SPY Component Report AXP
2021-01-26,SPY Component Report BXP
2021-01-26,SPY Component Report CCL
2021-01-26,SPY Component Report CHRW
2021-01-26,SPY Component Report COF
2021-01-26,SPY Component Report DHI
2021-01-26,SPY Component Report FCX
2021-01-26,SPY Component Report FFIV
2021-01-26,SPY Component Report GE
2021-01-26,SPY Component Report IVZ
2021-01-26,SPY Component Report JNJ
2021-01-26,SPY Component Report LMT
2021-01-26,SPY Component Report MMM
2021-01-26,SPY Component Report MSFT
2021-01-26,SPY Component Report NEE
2021-01-26,SPY Component Report PCAR
2021-01-26,SPY Component Report PLD
2021-01-26,SPY Component Report ROK
2021-01-26,SPY Component Report RTX
2021-01-26,SPY Component Report SBUX
2021-01-26,SPY Component Report TXN
2021-01-26,SPY Component Report VZ
2021-01-26,SPY Component Report WRB
2021-01-27,SPY Component Report AAPL
2021-01-27,SPY Component Report ABT
2021-01-27,SPY Component Report ADP
2021-01-27,SPY Component Report AMP
2021-01-27,SPY Component Report APH
2021-01-27,SPY Component Report BA
2021-01-27,SPY Component Report BX
2021-01-27,SPY Component Report CCI
2021-01-27,SPY Component Report ELV
2021-01-27,SPY Component Report EW
2021-01-27,SPY Component Report GD
2021-01-27,SPY Component Report GLW
2021-01-27,SPY Component Report HES
2021-01-27,SPY Component Report HOLX
2021-01-27,SPY Component Report LRCX
2021-01-27,SPY Component Report LVS
2021-01-27,SPY Component Report META
2021-01-27,SPY Component Report MKTX
2021-01-27,SPY Component Report NDAQ
2021-01-27,SPY Component Report NOW
2021-01-27,SPY Component Report NSC
2021-01-27,SPY Component Report PGR
2021-01-27,SPY Component Report PKG
2021-01-27,SPY Component Report PTC
2021-01-27,SPY Component Report RJF
2021-01-27,SPY Component Report ROL
2021-01-27,SPY Component Report SYK
2021-01-27,SPY Component Report T
2021-01-27,SPY Component Report TDY
2021-01-27,SPY Component Report TEL
2021-01-27,SPY Component Report TER
2021-01-27,SPY Component Report TSLA
2021-01-27,SPY Component Report TXT
2021-01-27,SPY Component Report URI
2021-01-28,SPY Component Report AJG
2021-01-28,SPY Component Report AOS
2021-01-28,SPY Component Report CMCSA
2021-01-28,SPY Component Report DHR
2021-01-28,SPY Component Report DOV
2021-01-28,SPY Component Report DOW
2021-01-28,SPY Component Report EMN
2021-01-28,SPY Component Report FICO
2021-01-28,SPY Component Report JNPR
2021-01-28,SPY Component Report LUV
2021-01-28,SPY Component Report MA
2021-01-28,SPY Component Report MCD
2021-01-28,SPY Component Report MDLZ
2021-01-28,SPY Component Report MKC
2021-01-28,SPY Component Report MMC
2021-01-28,SPY Component Report MO
2021-01-28,SPY Component Report MSCI
2021-01-28,SPY Component Report NOC
2021-01-28,SPY Component Report NUE
2021-01-28,SPY Component Report NVR
2021-01-28,SPY Component Report PFG
2021-01-28,SPY Component Report PHM
2021-01-28,SPY Component Report PNR
2021-01-28,SPY Component Report RMD
2021-01-28,SPY Component Report SHW
2021-01-28,SPY Component Report SWK
2021-01-28,SPY Component Report SWKS
2021-01-28,SPY Component Report TROW
2021-01-28,SPY Component Report TSCO
2021-01-28,SPY Component Report V
2021-01-28,SPY Component Report VLO
2021-01-28,SPY Component Report WDC
2021-01-28,SPY Component Report XEL
2021-01-29,SPY Component Report CAT
2021-01-29,SPY Component Report CHD
2021-01-29,SPY Component Report CHTR
2021-01-29,SPY Component Report CL
2021-01-29,SPY Component Report CVX
2021-01-29,SPY Component Report HON
2021-01-29,SPY Component Report JCI
2021-01-29,SPY Component Report LHX
2021-01-29,SPY Component Report LLY
